sample_id	group	color_code	bw_path	bed_path
BRCA_3	BRCA	#FFED6F	BRCA_01112370_4F6F_4A20_9BE0_7975C3465268_X017_S04_L008_B1_T2_P044.insertions.chr21.bw	BRCA_3.bed
BRCA_4	BRCA	#FFED6F	BRCA_0142AAAC_FFE8_43B7_AB99_02F7A1740567_X022_S06_L057_B1_T1_P050.insertions.chr21.bw	BRCA_4.bed
BRCA_5	BRCA	#FFED6F	BRCA_0142AAAC_FFE8_43B7_AB99_02F7A1740567_X022_S06_L058_B1_T2_P051.insertions.chr21.bw	BRCA_5.bed
CESC_1	CESC	#BEBADA	CESC_10041818_52A8_4856_ADEE_13E3FC97A737_X003_S09_L035_B1_T1_P002.insertions.chr21.bw	CESC_1.bed
CESC_2	CESC	#BEBADA	CESC_10041818_52A8_4856_ADEE_13E3FC97A737_X003_S09_L036_B1_T2_P002.insertions.chr21.bw	CESC_2.bed
CESC_3	CESC	#BEBADA	CESC_480D4965_DBC3_47D2_A352_E68A44F75232_X004_S10_L058_B1_T1_P006.insertions.chr21.bw	CESC_3.bed
CESC_4	CESC	#BEBADA	CESC_480D4965_DBC3_47D2_A352_E68A44F75232_X004_S10_L059_B1_T2_P006.insertions.chr21.bw	CESC_4.bed
CESC_5	CESC	#BEBADA	CESC_BA6FB645_26C4_436D_AF9D_653767310153_X004_S09_L057_B1_T1_P007.insertions.chr21.bw	CESC_5.bed
CHOL_1	CHOL	#FB8072	CHOL_1061FF2E_0ECA_4DE5_8D6D_E1A9B123B75F_X009_S05_L033_B1_T1_P021.insertions.chr21.bw	CHOL_1.bed
CHOL_2	CHOL	#FB8072	CHOL_1061FF2E_0ECA_4DE5_8D6D_E1A9B123B75F_X009_S05_L034_B1_T2_P029.insertions.chr21.bw	CHOL_2.bed
CHOL_3	CHOL	#FB8072	CHOL_2C9A8381_93B9_441F_B8DD_EFA6B50812FD_X016_S04_L053_B1_T1_P032.insertions.chr21.bw	CHOL_3.bed
CHOL_4	CHOL	#FB8072	CHOL_2C9A8381_93B9_441F_B8DD_EFA6B50812FD_X016_S04_L054_B1_T2_P035.insertions.chr21.bw	CHOL_4.bed
CHOL_5	CHOL	#FB8072	CHOL_39DCFAD0_1750_4418_9643_B5F2EAD9632A_X014_S08_L015_B1_T1_P046.insertions.chr21.bw	CHOL_5.bed
COAD_1	COAD	#80B1D3	COAD_0914606C_2CA1_4287_B530_DB70EA93ED6C_X022_S02_L050_B1_T1_P053.insertions.chr21.bw	COAD_1.bed
COAD_2	COAD	#80B1D3	COAD_0914606C_2CA1_4287_B530_DB70EA93ED6C_X022_S02_L051_B1_T2_P050.insertions.chr21.bw	COAD_2.bed
COAD_3	COAD	#80B1D3	COAD_0B139EBC_D372_4EC3_90DB_4CC9BC6F38DC_X006_S05_L038_B1_T1_P012.insertions.chr21.bw	COAD_3.bed
COAD_4	COAD	#80B1D3	COAD_0B139EBC_D372_4EC3_90DB_4CC9BC6F38DC_X006_S05_L039_B1_T2_P014.insertions.chr21.bw	COAD_4.bed
COAD_5	COAD	#80B1D3	COAD_0B7D5055_6D9C_46BB_A420_8098CD555089_X003_S07_L031_B1_T1_P002.insertions.chr21.bw	COAD_5.bed
ESCA_1	ESCA	#FDB462	ESCA_1E6AC686_96C2_46C4_A451_12D30114DD06_X012_S02_L027_B1_T1_P024.insertions.chr21.bw	ESCA_1.bed
ESCA_2	ESCA	#FDB462	ESCA_1E6AC686_96C2_46C4_A451_12D30114DD06_X012_S02_L028_B1_T2_P026.insertions.chr21.bw	ESCA_2.bed
ESCA_3	ESCA	#FDB462	ESCA_1FEF5E19_2351_4D46_99B4_63F0637ABF17_X010_S08_L063_B1_T1_P016.insertions.chr21.bw	ESCA_3.bed
ESCA_4	ESCA	#FDB462	ESCA_1FEF5E19_2351_4D46_99B4_63F0637ABF17_X010_S08_L064_B1_T2_P016.insertions.chr21.bw	ESCA_4.bed
ESCA_5	ESCA	#FDB462	ESCA_22102BD7_4D9F_4914_84D0_C64E2CB0D8C1_X018_S02_L027_B1_T1_P040.insertions.chr21.bw	ESCA_5.bed
GBMx_1	GBMx	#B3DE69	GBMx_09C0DCE7_D669_4D28_980D_BF71179116A4_X008_S01_L001_B1_T1_P017.insertions.chr21.bw	GBMx_1.bed
GBMx_2	GBMx	#B3DE69	GBMx_09C0DCE7_D669_4D28_980D_BF71179116A4_X008_S01_L002_B1_T2_P020.insertions.chr21.bw	GBMx_2.bed
GBMx_3	GBMx	#B3DE69	GBMx_193F811A_D110_4C59_86B7_FFDAA205844B_X015_S12_L045_B1_T1_P036.insertions.chr21.bw	GBMx_3.bed
GBMx_4	GBMx	#B3DE69	GBMx_193F811A_D110_4C59_86B7_FFDAA205844B_X015_S12_L046_B1_T2_P035.insertions.chr21.bw	GBMx_4.bed
GBMx_5	GBMx	#B3DE69	GBMx_6BEE2CB6_9AFD_42A6_9C26_9C4428FBABFA_X019_S10_L066_B1_T1_P045.insertions.chr21.bw	GBMx_5.bed
HNSC_1	HNSC	#FCCDE5	HNSC_19453A09_733B_4E0B_AD43_90DFE9374598_X037_S10_L067_B1_T1_P106.insertions.chr21.bw	HNSC_1.bed
HNSC_2	HNSC	#FCCDE5	HNSC_19453A09_733B_4E0B_AD43_90DFE9374598_X037_S10_L068_B1_T2_P093.insertions.chr21.bw	HNSC_2.bed
HNSC_3	HNSC	#FCCDE5	HNSC_2790E71B_7C59_4237_8DD6_5FDE8971AFDC_X037_S07_L061_B1_T1_P091.insertions.chr21.bw	HNSC_3.bed
HNSC_4	HNSC	#FCCDE5	HNSC_2790E71B_7C59_4237_8DD6_5FDE8971AFDC_X037_S07_L062_B1_T2_P089.insertions.chr21.bw	HNSC_4.bed
HNSC_5	HNSC	#FCCDE5	HNSC_4BB2B5AC_B01A_439A_A7AD_EF8CEC865DB3_X026_S06_L063_B1_T1_P068.insertions.chr21.bw	HNSC_5.bed
KIRC_1	KIRC	#D9D9D9	KIRC_0A1F461B_6A6F_4142_8174_073ABBC28DF8_X002_S01_L001_B1_T1_P005.insertions.chr21.bw	KIRC_1.bed
KIRC_2	KIRC	#D9D9D9	KIRC_0A1F461B_6A6F_4142_8174_073ABBC28DF8_X002_S01_L002_B1_T2_P005.insertions.chr21.bw	KIRC_2.bed
KIRC_3	KIRC	#D9D9D9	KIRC_0BCD21B9_CB40_447A_A948_1E81C1639D73_X004_S11_L060_B1_T1_PMRG.insertions.chr21.bw	KIRC_3.bed
KIRC_4	KIRC	#D9D9D9	KIRC_0BCD21B9_CB40_447A_A948_1E81C1639D73_X004_S11_L061_B1_T2_P006.insertions.chr21.bw	KIRC_4.bed
KIRC_5	KIRC	#D9D9D9	KIRC_26756D07_DF00_425A_853F_93B4E5617D46_X022_S04_L054_B1_T1_P049.insertions.chr21.bw	KIRC_5.bed
KIRP_1	KIRP	#BC80BD	KIRP_042753BE_85C4_4099_8D32_D0CB0E1EB4DD_X017_S10_L019_B1_T1_P040.insertions.chr21.bw	KIRP_1.bed
KIRP_2	KIRP	#BC80BD	KIRP_042753BE_85C4_4099_8D32_D0CB0E1EB4DD_X017_S10_L020_B1_T2_P042.insertions.chr21.bw	KIRP_2.bed
KIRP_3	KIRP	#BC80BD	KIRP_09B393E2_4336_4C79_BA60_5DCF9129164C_X011_S08_L015_B1_T1_P027.insertions.chr21.bw	KIRP_3.bed
KIRP_4	KIRP	#BC80BD	KIRP_09B393E2_4336_4C79_BA60_5DCF9129164C_X011_S08_L016_B1_T2_P029.insertions.chr21.bw	KIRP_4.bed
KIRP_5	KIRP	#BC80BD	KIRP_0C6C66CE_7D41_4176_8438_F275CDFE7759_X006_S07_L044_B1_T1_P012.insertions.chr21.bw	KIRP_5.bed
LGGx_1	LGGx	#CCEBC5	LGGx_116B070A_3412_4866_87B9_8337AD92CA94_X022_S11_L066_B1_T1_P050.insertions.chr21.bw	LGGx_1.bed
LGGx_2	LGGx	#CCEBC5	LGGx_116B070A_3412_4866_87B9_8337AD92CA94_X022_S11_L067_B1_T2_P048.insertions.chr21.bw	LGGx_2.bed
LGGx_3	LGGx	#CCEBC5	LGGx_2B03F922_2B01_4A7B_988A_BFE9C3BDED00_X030_S02_L027_B1_T1_P075.insertions.chr21.bw	LGGx_3.bed
LGGx_4	LGGx	#CCEBC5	LGGx_2B03F922_2B01_4A7B_988A_BFE9C3BDED00_X030_S02_L028_B1_T2_P081.insertions.chr21.bw	LGGx_4.bed
LGGx_5	LGGx	#CCEBC5	LGGx_2F543B87_3A9F_4B55_9E8D_10B5AB94CE51_X034_S07_L129_B1_T1_P074.insertions.chr21.bw	LGGx_5.bed
